streetname,civic_num,town
EGLINTON AVE,3545,MISSISSAUGA
DELLE DONNE DR,5884,MISSISSAUGA
SUMMER HEIGHTS DR,6887,MISSISSAUGA
ECLIPSE AVE,3181,MISSISSAUGA
SMOKE TREE RD,3338,MISSISSAUGA
BARTHOLOMEW CRES,3171,MISSISSAUGA
CEDAR HEDGE RISE,3820,MISSISSAUGA
STARFIELD CRES,6168,MISSISSAUGA
YORKTOWN CIR,2374,MISSISSAUGA
CHASEHURST DR,1477,MISSISSAUGA
GREENSBORO DR,5962,MISSISSAUGA
TAFFEY CRES,4089,MISSISSAUGA
COLEBROOK CRES,6467,MISSISSAUGA
SANDHURST DR,7358,MISSISSAUGA
CORNELL CRES,5811,MISSISSAUGA
FUDGE TERR,5648,MISSISSAUGA
CANFORD CRES,1312,MISSISSAUGA
ALLSPICE TR,7427,MISSISSAUGA
TENTH LINE WEST ,6702,MISSISSAUGA
JOYMAR DR,9,MISSISSAUGA
PLAYFORD RD,1280,MISSISSAUGA
QUARTERMAIN CRES,5367,MISSISSAUGA
NORTHRISE RD,5558,MISSISSAUGA
WINDWOOD DR,2963,MISSISSAUGA
DOVETAIL MEWS,3416,MISSISSAUGA
DELANEY DR,1826,MISSISSAUGA
QUIET CREEK DR,3802,MISSISSAUGA
COBBINSHAW CIR,2481,MISSISSAUGA
NIGHTHAWK TR,3387,MISSISSAUGA
BANFIELD RD,2577,MISSISSAUGA
BELFAST CRES,2322,MISSISSAUGA
OSLO CRES,2966,MISSISSAUGA
ALLCROFT RD,3808,MISSISSAUGA
THE COLLEGEWAY ,3132,MISSISSAUGA
FESTIVAL DR,5439,MISSISSAUGA
GLORY CRT,6971,MISSISSAUGA
BENTLEY DR,3139,MISSISSAUGA
OLAND DR,3785,MISSISSAUGA
BUCKLEPOST CRES,2751,MISSISSAUGA
EGLINTON AVE,3650,MISSISSAUGA
MANZANILLO CRES,5993,MISSISSAUGA
PERIWINKLE CRES,3812,MISSISSAUGA
TACC DR,3134,MISSISSAUGA
BELL HARBOUR DR,5868,MISSISSAUGA
VALCOURT CRES,3190,MISSISSAUGA
FULLERTON CRES,6223,MISSISSAUGA
TAMAR MEWS,7027,MISSISSAUGA
SNOW GOOSE LANES ,6453,MISSISSAUGA
KEPLER LANE,6759,MISSISSAUGA
LISGAR DR,6914,MISSISSAUGA
BARNSTONE CRES,2702,MISSISSAUGA
ROSEGATE DR,2204,MISSISSAUGA
TACC DR,3906,MISSISSAUGA
MARSHDALE CRT,4429,MISSISSAUGA
ALDERWOOD TR,6606,MISSISSAUGA
KELSO CRES,3521,MISSISSAUGA
SPIREA TERR,3446,MISSISSAUGA
OBECK CRES,2118,MISSISSAUGA
WINDRUSH CRT,7226,MISSISSAUGA
OSCAR PETERSON BLVD,5419,MISSISSAUGA
BANKSIDE DR,2355,MISSISSAUGA
LOS PALMAS CRT,2666,MISSISSAUGA
PHEASANT RUN ,4065,MISSISSAUGA
LONGMOOR RD,4541,MISSISSAUGA
WORKMAN DR,3126,MISSISSAUGA
RAINDANCE CRES,3339,MISSISSAUGA
CARTWRIGHT CRES,2877,MISSISSAUGA
CORINTHIAN TR,5831,MISSISSAUGA
BLACK WALNUT TR,7270,MISSISSAUGA
BUSHLAND CRES,2816,MISSISSAUGA
MEADOWCREST AVE,5558,MISSISSAUGA
MILLWAY GATE,2041,MISSISSAUGA
WINCANTON CRES,2038,MISSISSAUGA
FORRESTDALE CIR,3425,MISSISSAUGA
PADSTOW CRES,2485,MISSISSAUGA
PEARLSTONE DR,3747,MISSISSAUGA
BENDIGO CIR,7218,MISSISSAUGA
SNOWBALL RD,3372,MISSISSAUGA
SUNLIGHT ST,3245,MISSISSAUGA
DILLINGWOOD DR,6853,MISSISSAUGA
BLACK WALNUT TR,7150,MISSISSAUGA
PERIWINKLE CRES,3902,MISSISSAUGA
SWIFTDALE DR,3896,MISSISSAUGA
TWEED CRT,5931,MISSISSAUGA
WILMAR CRES,3254,MISSISSAUGA
RUSHTON CRES,3936,MISSISSAUGA
BIRCH CRES,2612,MISSISSAUGA
OLYMPUS MEWS,3081,MISSISSAUGA
ARBOUR GREEN DR,4098,MISSISSAUGA
ROMFIELD CRES,4308,MISSISSAUGA
SANDGATE CRES,1607,MISSISSAUGA
RENFREW CRES,4039,MISSISSAUGA
SNOWFLAKE LANE,6374,MISSISSAUGA
BANKSIDE DR,2485,MISSISSAUGA
TRELAWNY CIR,3313,MISSISSAUGA
TISLER CRES,6527,MISSISSAUGA
SANDOWN RD,1985,MISSISSAUGA
MASTHEAD CRES,3383,MISSISSAUGA
KELSO CRES,3559,MISSISSAUGA
LORNE PARK RD,1201,MISSISSAUGA
ESCADA DR,3228,MISSISSAUGA
CHARTRAND CRES,3403,MISSISSAUGA
LONG VALLEY RD,5747,MISSISSAUGA
TENTH LINE WEST ,6306,MISSISSAUGA
WARRENDALE GATE,5090,MISSISSAUGA
MANATEE WAY,3907,MISSISSAUGA
HOBBS CRES,1583,MISSISSAUGA
SOUTHWICK ST,3582,MISSISSAUGA
CADIZ CRES,7050,MISSISSAUGA
WATERWIND CRES,5590,MISSISSAUGA
TURNEY DR,5574,MISSISSAUGA
FOXBRIDGE PL,5975,MISSISSAUGA
PADSTOW CRES,2355,MISSISSAUGA
BLUE BEECH CRES,2184,MISSISSAUGA
BIRCH CRES,2551,MISSISSAUGA
HOLBROOK RD,5508,MISSISSAUGA
BAIRD CRT,3614,MISSISSAUGA
ALGARVE DR,5943,MISSISSAUGA
SOUTH MILLWAY ,2250,MISSISSAUGA
FOXWOOD AVE,3932,MISSISSAUGA
SALERNO CRES,3002,MISSISSAUGA
CEDAR RAPIDS CRES,6541,MISSISSAUGA
COBBINSHAW CIR,2475,MISSISSAUGA
GLEN ERIN DR,5844,MISSISSAUGA
VISTA DR,75,MISSISSAUGA
PLUM TREE CRES,3032,MISSISSAUGA
TISLER CRES,6503,MISSISSAUGA
BANSBRIDGE CRES,6878,MISSISSAUGA
HICKLING CRES,7102,MISSISSAUGA
STEVENAGE CRT,3119,MISSISSAUGA
NEUCHATEL PL,14,MISSISSAUGA
MIDDLEBURY DR,5397,MISSISSAUGA
ESCADA DR,3830,MISSISSAUGA
MILLWAY GATE,2133,MISSISSAUGA
TURNEY DR,5646,MISSISSAUGA
FORRESTDALE CIR,3368,MISSISSAUGA
TREETOP CRES,4067,MISSISSAUGA
ROSEHURST DR,7164,MISSISSAUGA
SEVENOAKS DR,1794,MISSISSAUGA
HADDON HALL RD,5627,MISSISSAUGA
BARCELLA CRES,2424,MISSISSAUGA
ROY IVOR CRES,1951,MISSISSAUGA
HARGROVE RD,3365,MISSISSAUGA
FRESHWATER DR,5670,MISSISSAUGA
DUNDAS ST,3235,MISSISSAUGA
OLYMPUS MEWS,3148,MISSISSAUGA
RAINSPRING DR,5831,MISSISSAUGA
ANGEL PASS DR,3164,MISSISSAUGA
DUNWIN DR,2211,MISSISSAUGA
ANDORRA CIR,2717,MISSISSAUGA
MALLORY RD,5363,MISSISSAUGA
HALF MOON GROV,4837,MISSISSAUGA
HAMPDEN WOODS RD,6414,MISSISSAUGA
TRELAWNY CIR,3351,MISSISSAUGA
SPRINGRUN WAY,3303,MISSISSAUGA
YORKTOWN CIR,2416,MISSISSAUGA
PRAIRIE CIR,6063,MISSISSAUGA
AQUINAS AVE,3545,MISSISSAUGA
RAFTSMAN COVE ,5843,MISSISSAUGA
GULFSTREAM WAY,3005,MISSISSAUGA
KIMBERMOUNT AVE,4660,MISSISSAUGA
RIDGELEIGH HTS,3209,MISSISSAUGA
MCFARREN BLVD,5538,MISSISSAUGA
HICKLING CRES,6911-B,MISSISSAUGA
SWIFTDALE DR,3851,MISSISSAUGA
QUESTMAN HOLLOW ,5900,MISSISSAUGA
TRELAWNY CIR,3508,MISSISSAUGA
OSLO CRES,2879,MISSISSAUGA
MILKWOOD CRES,3940,MISSISSAUGA
BROOKHURST RD,2338,MISSISSAUGA
TREETOP CRES,4238,MISSISSAUGA
RAFTSMAN COVE ,5814,MISSISSAUGA
CALUMET PL,1593,MISSISSAUGA
ASH ROW CRES,3406,MISSISSAUGA
BROADPATH GATE,5550,MISSISSAUGA
EDGECLIFFE RUN ,3782,MISSISSAUGA
THE CHASE ,2130,MISSISSAUGA
MISSION HILL DR,3048,MISSISSAUGA
MARTLEN CRES,4084,MISSISSAUGA
PERENNIAL DR,5039,MISSISSAUGA
SAWMILL VALLEY DR,4411,MISSISSAUGA
PEACOCK DR,2854,MISSISSAUGA
ROSANNA DR,3878,MISSISSAUGA
COUNCIL RING RD,3045,MISSISSAUGA
TRUSCOTT DR,1986,MISSISSAUGA
SEEBRING CRES,4004,MISSISSAUGA
SAGINAW CRES,1380,MISSISSAUGA
PERENNIAL DR,5088,MISSISSAUGA
WOODHURST CRES,3551,MISSISSAUGA
PLOUGHSHARE CRT,2457,MISSISSAUGA
TRIUMPH LANE,7190,MISSISSAUGA
SHERHILL DR,2598,MISSISSAUGA
NESTLING GROV,5159,MISSISSAUGA
PERIWINKLE CRES,3824,MISSISSAUGA
SANDERLING CRES,3362,MISSISSAUGA
MCDOWELL DR,3896,MISSISSAUGA
WILLOWBURNE DR,2431,MISSISSAUGA
CHADBURN CRES,4116,MISSISSAUGA
CONSTABLE RD,2538,MISSISSAUGA
COLONIAL DR,3413,MISSISSAUGA
SAINT MALO CIR,2991,MISSISSAUGA
PRAIRIE CIR,6082,MISSISSAUGA
AVILA RD,6827,MISSISSAUGA
TRAPPER CRES,4077,MISSISSAUGA
FARRIER CRT,4060,MISSISSAUGA
EDENWOOD DR,6051,MISSISSAUGA
GLACE BAY RD,2998,MISSISSAUGA
ANGEL PASS DR,3370,MISSISSAUGA
OBECK CRES,2180,MISSISSAUGA
BUCKLEPOST CRES,2798,MISSISSAUGA
OZZIE DR,3031,MISSISSAUGA
FOLKWAY DR,3335,MISSISSAUGA
AZELIA CRT,3358,MISSISSAUGA
INNISFIL RD,2602,MISSISSAUGA
RUSCOMBE CLOSE ,1667,MISSISSAUGA
SEDGEFIELD RD,4420,MISSISSAUGA
WHITEOAKS AVE,1216,MISSISSAUGA
ADOBE CRT,5272,MISSISSAUGA
HICKLING CRES,7113,MISSISSAUGA
HARRIS RD,6979,MISSISSAUGA
WILLOWBURNE DR,2419,MISSISSAUGA
SOUTH MILLWAY ,3330,MISSISSAUGA
RIPPLETON LANE,3932,MISSISSAUGA
SCOTCH PINE GATE,3415,MISSISSAUGA
ANCIENT STONE AVE,5130,MISSISSAUGA
MARGARITA CRES,5712,MISSISSAUGA
GALLEON CRES,2752,MISSISSAUGA
ROLLING VALLEY DR,4111,MISSISSAUGA
FULLERTON CRES,6072,MISSISSAUGA
REMEA CRT,2840,MISSISSAUGA
WINDWOOD DR,2755,MISSISSAUGA
FOXBRIDGE PL,5962,MISSISSAUGA
BENT OAK CIR,1,MISSISSAUGA
FOLKWAY DR,2893,MISSISSAUGA
ASH ROW CRES,3466,MISSISSAUGA
STONECUTTER CRES,3496,MISSISSAUGA
TRELAWNY CIR,3295,MISSISSAUGA
FORRESTDALE CIR,3409,MISSISSAUGA
WINDJAMMER RD,2575,MISSISSAUGA
HARGOOD PL,2351,MISSISSAUGA
FOXBOROUGH TR,3815,MISSISSAUGA
OKA RD,2900,MISSISSAUGA
TALLMAST CRES,3383,MISSISSAUGA
TREETOP CRES,4098,MISSISSAUGA
SNOWFLAKE LANE,6235,MISSISSAUGA
ROSEHURST DR,7121,MISSISSAUGA
DESTINATION DR,3215,MISSISSAUGA
OAK ROW CRES,2638,MISSISSAUGA
FREEMAN TERR,3844,MISSISSAUGA
NIGEL RD,1225,MISSISSAUGA
SARATOGA WAY,6556,MISSISSAUGA
RAYSHAW CRES,5914,MISSISSAUGA
KELSO CRES,3485,MISSISSAUGA
DENSBURY DR,3742,MISSISSAUGA
LADY DI CRT,2018,MISSISSAUGA
GRINDSTONE CRT,2455,MISSISSAUGA
OSPREY BLVD,5922,MISSISSAUGA
TRUSCOTT DR,1863,MISSISSAUGA
ARNETT CRT,3139,MISSISSAUGA
OSPREY BLVD,6005,MISSISSAUGA
SOUTH SHERIDAN WAY,1810,MISSISSAUGA
OSPREY BLVD,5906,MISSISSAUGA
BEAU RIVAGE CRES,3325,MISSISSAUGA
THORN LODGE DR,2623,MISSISSAUGA
STRATHMORE CRES,2552,MISSISSAUGA
MAINROYAL ST,2440,MISSISSAUGA
JEFTON CRES,4110,MISSISSAUGA
ROMFIELD CRES,4285,MISSISSAUGA
WESTHAMPTON RD,5393,MISSISSAUGA
WINDJAMMER RD,2790,MISSISSAUGA
LUNDENE RD,2572,MISSISSAUGA
MCCARRON CRES,3242,MISSISSAUGA
CHURCHILL MEADOWS BLVD,5953,MISSISSAUGA
HOLBROOK RD,5521,MISSISSAUGA
TRILOGY TR,3391,MISSISSAUGA
CONSTABLE RD,2930,MISSISSAUGA
OSCAR PETERSON BLVD,5430,MISSISSAUGA
DANCER CRT,2957,MISSISSAUGA
HAMMOND RD,2938,MISSISSAUGA
MERROW RD,1564,MISSISSAUGA
AQUINAS AVE,3327,MISSISSAUGA
LUNDENE RD,2722,MISSISSAUGA
GARDENVIEW CRES,2972,MISSISSAUGA
DELANEY DR,1922,MISSISSAUGA
SWISS CRT,3218,MISSISSAUGA
WATERWIND CRES,5564,MISSISSAUGA
TRELAWNY CIR,3813,MISSISSAUGA
THE COLLEGEWAY ,2674,MISSISSAUGA
FOREST BLUFF CRES,3829,MISSISSAUGA
ARIOSO CRT,2422,MISSISSAUGA
ERIN CENTRE BLVD,3421,MISSISSAUGA
AUBREY RD,3362,MISSISSAUGA
ANDERSON CRES,3166,MISSISSAUGA
MACPHEE RD,5749,MISSISSAUGA
BRAMSEY DR,1692,MISSISSAUGA
SOUTHAMPTON DR,4917,MISSISSAUGA
OAK ROW CRES,2574,MISSISSAUGA
HAZELRIDGE RD,3935,MISSISSAUGA
SANDGATE CRES,1519,MISSISSAUGA
PASSION FLOWER BLVD,5687,MISSISSAUGA
MONTEVIDEO RD,6956,MISSISSAUGA
GALLEON CRES,2890,MISSISSAUGA
DINNING CRT,2529,MISSISSAUGA
STARFIELD CRES,6145,MISSISSAUGA
EGLINTON AVE,3341,MISSISSAUGA
BROOKHURST RD,2272,MISSISSAUGA
FOREST RIDGE DR,5326,MISSISSAUGA
GLACE BAY RD,2938,MISSISSAUGA
TACC DR,3849,MISSISSAUGA
HARLOW RD,6683,MISSISSAUGA
MARTEL CRT,6313,MISSISSAUGA
DAVEBROOK RD,1982,MISSISSAUGA
CAMBERWELL DR,3281,MISSISSAUGA
FOXBOROUGH TR,3792,MISSISSAUGA
PLANTATION PL,5152,MISSISSAUGA
COTTONWOOD CRT,1439,MISSISSAUGA
COLUMBINE CRES,3322,MISSISSAUGA
BRAMSEY DR,1592,MISSISSAUGA
AMBERCROFT TR,2562,MISSISSAUGA
CEDAR HEDGE RISE,3863,MISSISSAUGA
ROUNDWOOD CRT,6978,MISSISSAUGA
INDIGO CRES,3556,MISSISSAUGA
ATHERLY CRES,6234,MISSISSAUGA
ALDERGROVE CRT,7315,MISSISSAUGA
KINGS MASTING CRES,3286,MISSISSAUGA
FLAGSTONE DR,3226,MISSISSAUGA
DILLINGWOOD DR,6844,MISSISSAUGA
HOMELANDS DR,2584,MISSISSAUGA
SHADETREE DR,3194,MISSISSAUGA
YEW ST,1615,MISSISSAUGA
SANDHURST DR,7380,MISSISSAUGA
APRICOT ST,3284,MISSISSAUGA
QUIET CREEK DR,3736,MISSISSAUGA
GOLDEN LOCUST DR,3687,MISSISSAUGA
BEAU RIVAGE CRES,3492,MISSISSAUGA
BOXFORD CRES,3170,MISSISSAUGA
OAK ROW CRES,2510,MISSISSAUGA
TRELAWNY CIR,3744,MISSISSAUGA
ARVIDA CIR,2861,MISSISSAUGA